id,name,short_name,representative,found_time,company_address,register_address,province,city,district,biz_status,geoloc,emails,phones,contact,biz_scope,company_type,score,register_capital,websites,credit_code,taxpayer_code,register_code,organization_code,tags,industry,keyword,logo,company_desc,financing_round,competitions,english_name,register_institute,actual_capital,used_name,staffs,tax_address,taxpayer_bank,portraits
9519792,深圳市腾讯计算机系统有限公司,腾讯,马化腾,1998-11-11,深圳市南山区粤海街道麻岭社区科技中一路<em>腾讯</em>大厦35层,深圳市南山区粤海街道麻岭社区科技中一路<em>腾讯</em>大厦35层,广东,深圳市,南山区,存续,"{'latitude': None, 'longitude': None}",adpm@tencent.com,['0755-86013388'],0755-86013388,计算机软;硬件的设计;技术开发;销售;数据库及计算机网络服务;国内商业;物资供销业;从事广告业务;另行办理审批登记后方可经营;货物及技术进出口;票务代理;第一类增值电信业务中的国内互联网虚拟专用网业务;第二类增值电信业务中的国内多方通信服务业务;国内呼叫中心业务;信息服务业务;网络游戏出版运营;互联网新闻信息转载服务;预包装食品销售;利用信息网络经营音乐娱乐产品;游戏产品;含网络游戏虚拟货币发行;艺术品;演出剧;节;目;动漫产品;表演;从事网络文化产品的展览;比赛活动;互联网视听节目服务;制作;复制;发行电视剧;动画片;制作须另申报;专题;专栏;综艺;出版物零售,有限责任公司;有限责任公司,8525,6500万人民币,https://www.wechat.com,91440300708461136T,91440300708461136T,440301103448669,70846113-6,"['高新技术企业', '独角兽企业', '火炬计划项目企业', '战略融资', '赴港上市(正常上市)']",软件和信息技术服务业,腾讯,https://img5.tianyancha.com/logo/product/67bd5df0a6358f7f1b1adfc6e32f23bc.png@!f_200x200,腾讯成立于1998年11月，是目前中国领先的互联网综合服务提供商之一。成立10多年以来，腾讯一直秉承“一切以用户价值为依归”的经营理念，为亿级海量用户提供稳定优质的各类服务，始终处于稳健发展的状态。2004年6月16日，腾讯控股有限公司在香港联交所主板公开上市（股票代号00700）。,战略融资,"['云智海联', '魔法猴科技', '慎行网络', '狮云科技', '新蜂网络', '聂腾科技', '墨焱科技', '或非软件', '飞智信息科技', '智朴科技', '青岛微智慧', '宁波漫索', '端点科技', '长观信息', '华旻科技', '网域科技', '迅雷', '优美特', '新网程', '京华信息']","Shenzhen Tencent Computer System Co., Ltd.",深圳市市场监督管理局,6500万人民币,-,4771,深圳市南山区粤海街道麻岭社区科技中一路腾讯大厦35层,,[]
150041670,腾讯科技（深圳）有限公司,腾讯科技,马化腾,2000-02-24,深圳市南山区高新区科技中一路<em>腾讯</em>大厦35层,深圳市南山区高新区科技中一路<em>腾讯</em>大厦35层,广东,深圳市,南山区,存续,"{'latitude': None, 'longitude': None}",adpm@tencent.com,['0755-86013388'],0755-86013388,从事计算机软硬件的技术开发;销售自行开发的软件;计算机技术服务及信息服务;计算机硬件的研发;批发;玩具设计开发;玩具的批发与零售;商品的批发与零售;动漫及衍生产品设计服务;电子产品设计服务;游戏游艺设备销售;国内贸易;从事货物及技术进出口;一类医疗器械销售;二类医疗器械销售;以上项目不涉及外商投资准入特别管理措施;按国家有关规定办理申请;非居住房地产租赁;凭营业执照依法自主开展经营活动;三类医疗器械销售;房地产开发经营,有限责任公司;港、澳、台;有限责任公司(台港澳法人独资),7460,200万美元,,9144030071526726XG,9144030071526726XG,440301503270924,71526726-X,['高新技术企业'],软件和信息技术服务业,腾讯,https://img5.tianyancha.com/logo/product/ffb4800af94cdff57233d1f8ce238513.jpg@!f_200x200,腾讯众创空间联合社会各界力量，整合腾讯内部资源，凭借双百计划、众创大赛、长青腾创业营、创业基地等创业助推器，打造全要素孵化加速众创平台，助力创业者实现创业梦想，让“大众创业、万众创新”成为一种新常态。,,[],"Tencent Technology(Shenzhen)Co.,Ltd.",深圳市市场监督管理局,,-,21915,深圳市南山区高新区科技中一路腾讯大厦35层,,"[""企业服务"", ""创业服务"", ""孵化器"", ""孵化服务"", ""软件开发"", ""软件和信息技术服务业"", ""信息传输、软件和信息技术服务业""]"
1297330297,深圳前海微众银行股份有限公司,前海微众,顾敏,2014-12-16,深圳市前海深港合作区前湾一路1号A栋201室（入驻深圳市前海商务秘书有限公司）经营场所：广东省深圳市南山区沙河西路1819号深圳湾科技生态园7栋A座,深圳市前海深港合作区前湾一路1号A栋201室（入驻深圳市前海商务秘书有限公司）经营场所：广东省深圳市南山区沙河西路1819号深圳湾科技生态园7栋A座,广东,深圳市,南山区,存续,"{'latitude': None, 'longitude': None}",sgo@webank.com,"['0755-89462525', '0755-26337000']",0755-89462525,吸收公众;主要是个人及小微企业存款;主要针对个人及小微企业发放短期;中期和长期贷款;办理国内外结算;办理票据承兑与贴现;发行金融债券;代理发行;代理兑付;承销政府债券;买卖政府债券;金融债券;从事同业拆借;买卖;代理买卖外汇;从事银行卡业务;提供信用证服务及担保;代理收付款项及代理保险业务;提供保管箱服务;基金销售,股份有限公司;股份有限公司(非上市),9920,391820万人民币,https://www.webank.com,9144030031977063XH,9144030031977063XH,440301111843575,31977063-X,"['独角兽企业', '小微企业', '战略融资']",货币金融服务,腾讯,https://img5.tianyancha.com/logo/lll/d59dac9f829985e17862659b9f50cfdb.png@!f_200x200,深圳前海微众银行股份有限公司，成立于2014年，位于广东省深圳市，是一家以从事货币金融服务为主的企业。企业注册资本391820万人民币，实缴资本300000万人民币，并已于2021年完成了战略融资。通过天眼查大数据分析，深圳前海微众银行股份有限公司参与招投标项目54次；知识产权方面有商标信息1134条，专利信息3338条，著作权信息160条；此外企业还拥有行政许可101个。风险方面共发现企业有裁判文书163条，涉案总金额233.598767万元；开庭公告7541条，立案信息1049条。,,,"Shenzhen Qianhai Micro Public Bank Co.,Ltd.",深圳市市场监督管理局南山监管局,300000万人民币,-,3481,深圳市前海深港合作区前湾一路1号A栋201室（入驻深圳市前海商务秘书有限公司）经营场所：广东省深圳市南山区沙河西路1819号深圳湾科技生态园7栋A座,,"[""消费金融"", ""银行服务"", ""金融数据"", ""综合性金融服务"", ""数字经济"", ""综合金融服务"", ""数字金融"", ""民营银行"", ""商业银行"", ""数字银行"", ""金融"", ""金融业""]"
3191377411,騰訊控股有限公司,腾讯控股,马化腾,1999-11-23,香港湾仔皇后大道东1号太古广场三座29楼;深圳市南山区海天二路33号<em>腾讯</em>滨海大厦,香港湾仔皇后大道东1号太古广场三座29楼;深圳市南山区海天二路33号<em>腾讯</em>滨海大厦,香港,,,仍注册,"{'latitude': None, 'longitude': None}",,,,,註冊非香港公司,7000,100万港元,www.tencent.com,,,,,"['港股(正常上市)', '中概股(正常上市)', '中国民营企业500强', '中国香港']",,腾讯,https://img5.tianyancha.com/logo/lll/f938fabacdc8d72ff812437d54ad70ec.png@!f_200x200,腾讯控股有限公司，成立于2004年，位于香港特别行政区。企业股本100万港元。通过天眼查大数据分析，腾讯控股有限公司共对外投资了1家企业，参与招投标项目1次。,,,TENCENT HOLDINGS LIMITED,-,,-,-,香港湾仔皇后大道东1号太古广场三座29楼;深圳市南山区海天二路33号腾讯滨海大厦,-,[]
485687893,深圳市腾讯网域计算机网络有限公司,腾讯网域,何迪亮,1997-04-28,深圳市前海深港合作区南山街道桂湾三路91号景兴海上大厦1204,深圳市前海深港合作区南山街道桂湾三路91号景兴海上大厦1204,广东,深圳市,南山区,存续,"{'latitude': None, 'longitude': None}",adpm@tencent.com,['0755-86013388'],0755-86013388,计算机软件技术开发;销售;网络商务;搜索引擎;网页制作;域名服务;行业信息;移动短信;网络游戏,有限责任公司;有限责任公司(自然人投资或控股的法人独资),9984,2401000万人民币,,914403002793320449,914403002793320449,440301103001006,27933204-4,"['曾用名', '小微企业']",软件和信息技术服务业,腾讯,https://img5.tianyancha.com/logo/lll/3f11e8836d790f14846acbf5953563d0.png@!f_200x200,深圳市腾讯网域计算机网络有限公司 (曾用名：深圳市网域计算机网络有限公司) ，成立于1997年，位于广东省深圳市，是一家以从事软件和信息技术服务业为主的企业。企业注册资本2401000万人民币，实缴资本2401000万人民币。通过天眼查大数据分析，深圳市腾讯网域计算机网络有限公司共对外投资了10家企业，参与招投标项目1次；知识产权方面有专利信息134条，著作权信息14条；此外企业还拥有行政许可12个。风险方面共发现企业有,,,"Shenzhen Tencent domain computer network Co.,Ltd.",深圳市市场监督管理局南山监管局,2401000万人民币,深圳市网域计算机网络有限公司,62,深圳市前海深港合作区南山街道桂湾三路91号景兴海上大厦1204,,"[""游戏"", ""游戏开发"", ""3D游戏"", ""模拟游戏"", ""文娱传媒"", ""网络游戏"", ""数字经济"", ""游戏运营"", ""互联网和相关服务"", ""互联网信息服务"", ""游戏电竞"", ""游戏研发发行"", ""游戏服务"", ""网页游戏运营"", ""数字经济核心产业"", ""数字文创""]"
2313221010,财付通支付科技有限公司,财付通,郑浩剑,2006-08-25,深圳市前海深港合作区南山街道桂湾三路91号景兴海上大厦1201,深圳市前海深港合作区南山街道桂湾三路91号景兴海上大厦1201,广东,深圳市,南山区,存续,"{'latitude': None, 'longitude': None}",adpm@tencent.com,['0755-86013388'],0755-86013388,电子商务;电子支付;支付结算和清算系统的技术开发;计算机技术服务;计算机软;硬件的设计;技术开发;销售;数据库及计算机网络服务;国内商业;物资供销业;从事广告业务;在线数据处理与交易业务;信息服务业务;仅限互联网信息服务业务,有限责任公司;有限责任公司,9976,1530000万人民币,https://www.tenpay.com,91440300792584584M,91440300792584584M,440301103463379,79258458-4,"['曾用名', '瞪羚企业', '小微企业', '天使轮']",软件和信息技术服务业,腾讯,https://img5.tianyancha.com/logo/product/f0a77b64c85450dba85551be003bb021.png@!f_200x200,腾讯金融科技（Tencent Financial Technology）前身为财付通，是腾讯公司提供移动支付与金融服务的综合业务平台。秉承合规、精品、风控、开放、有所为有所不为的发展理念，腾讯金融科技以微信和QQ两大平台为基础，致力于连接人与金融的美好，构建金融开放生态，携手合作伙伴为全球用户提供移动支付、财富管理、证券投资、企业金融、民生产品等服务。,天使轮,"['非洲互联网', 'PayMongo', 'PalmPay', 'PayRue', 'Melio', 'OPAY', 'Mari', 'MyMy', 'Roger.ai', 'SpherePay', '乐享付', 'Hover Developer Services', '汇商通盈', '快财通', '盈科汇通', 'Payitup', 'Microchip Payments', 'CityCash', '亚银网络', '熊猫优惠']","Tenpay Payment Technology Co.,Ltd.",深圳市市场监督管理局南山监管局,1530000万人民币,深圳市财付通科技有限公司,2250,深圳市前海深港合作区南山街道桂湾三路91号景兴海上大厦1201,,"[""企业服务"", ""开发者服务"", ""支付"", ""移动支付"", ""电子商务"", ""支付技术服务"", ""集成电路"", ""电商服务"", ""金融"", ""集成电路设计"", ""电子支付服务""]"
13593411,华谊兄弟传媒股份有限公司,华谊兄弟,王忠军,2004-11-19,浙江省东阳市横店影视产业实验区C1-001,浙江省东阳市横店影视产业实验区C1-001,浙江,金华市,东阳市,存续,"{'latitude': None, 'longitude': None}",may.wang@huayimedia.com,"['0579-86587019', '010-65881012', '010-65805818']",0579-86587019,制作;复制;发行;专题;专栏;综艺;动画片;广播剧;电视剧;广播电视节目制作经营许可证;国产影片发行;摄制电影;单片;企业形象策划;影视文化信息咨询服务;影视广告制作;代理;发行;影视项目的投资管理;经营进出口业务;实业投资;投资管理;资产管理;投资咨询;企业管理咨询;经济信息咨询,股份有限公司;股份有限公司(上市、自然人投资或控股),9895,277450.5919万人民币,https://www.huayimedia.com,91330000768691187H,91330000768691187H,330783000004500,76869118-7,"['小微企业', '定向增发', 'A股(正常上市)', '股权质押']",广播、电视、电影和录音制作业,腾讯,https://img5.tianyancha.com/logo/lll/19533c8e5d682d887290f3b6df1ef820.png@!f_200x200,华谊兄弟传媒股份有限公司，成立于2004年，位于浙江省金华市，是一家以从事广播、电视、电影和录音制作业为主的企业。企业注册资本277450.5919万人民币，实缴资本277450.5919万人民币，并已于2020年完成了定向增发，交易金额22.9亿人民币。通过天眼查大数据分析，华谊兄弟传媒股份有限公司共对外投资了29家企业，参与招投标项目10次；知识产权方面有商标信息837条，著作权信息60条；此外企业还拥有行政许可6个。风险方面共发现企业有裁判文书1条；开庭公告6条，立案信息1条。,,,Huayi Brothers Media Corporation,浙江省市场监督管理局,277450.5919万人民币,-,2,浙江省东阳市横店影视产业实验区C1-001,,"[""影视"", ""动漫"", ""虚拟现实"", ""电影"", ""出版"", ""明星粉丝"", ""二次元"", ""电视"", ""电子竞技"", ""消费升级"", ""传媒"", ""文娱传媒"", ""影视制作"", ""影视发行"", ""数字出版"", ""经纪公司"", ""网络游戏"", ""数字经济"", ""影视内容制造"", ""新闻出版"", ""玩乐生活"", ""广播、电视、电影和影视录音制作业"", ""文化传媒"", ""数字经济核心产业"", ""数字文创""]"
19031905,腾讯云计算（北京）有限责任公司,腾讯云,李强,2010-10-21,北京市海淀区西北旺东路10号院西区9号楼4层101,北京市海淀区西北旺东路10号院西区9号楼4层101,北京,北京市,海淀区,存续,"{'latitude': None, 'longitude': None}",sophiawan@tencent.com,['010-62671188'],010-62671188,互联网游戏服务;网络文化经营;第一类增值电信业务;第二类增值电信业务;互联网信息服务;第三类医疗器械经营;专利代理;代理记账;人力资源服务;技术服务;技术开发;技术咨询;技术交流;技术转让;技术推广;广告设计;代理;数字广告设计;代理;广告制作;广告发布;软件开发;软件销售;第一类医疗器械销售;第二类医疗器械销售;计算机软硬件及辅助设备批发;计算机软硬件及辅助设备零售;通讯设备销售;机械设备销售;电子产品销售;货物进出口;技术进出口;进出口代理;企业管理咨询;市场调查;商标代理;知识产权服务;专利代理服务除外;网络技术服务;凭营业执照依法自主开展经营活动,有限责任公司;有限责任公司(法人独资),9784,104250万人民币,https://cloud.tencent.com,911101085636549482,911101085636549482,110108013297537,56365494-8,"['曾用名', '高新技术企业', '瞪羚企业', 'A轮']",互联网和相关服务,腾讯,https://img5.tianyancha.com/logo/product/aa22c18d6d43292b8edf1f3d32406932.png@!f_200x200,腾讯云为数百万的企业和开发者提供安全、稳定的云服务器、云主机、CDN、对象存储、域名注册、云存储、云数据库等云服务，帮助用户解决游戏、视频、移动、微信、互联网+等行业的架构难题，是全球领先的云计算服务商。,A轮,"['星宫数据', '国信智慧', '奕清云', '掣雷云', '如虹科技', '锐角云', '云轴科技', '蒙帕信息', '昊锐信息', '盛思睿', '立云信息', '睡眠博士', 'EquipOne', '卓易信息', '麻花云', '和谐云']",Tencent Cloud Computing(Beijing) Company Limited,北京市海淀区市场监督管理局,104250万人民币,北京康盛新创科技有限责任公司,1735,北京市海淀区西北旺东路10号院西区9号楼4层101,,"[""企业服务"", ""游戏"", ""大数据"", ""IT基础设施"", ""云计算"", ""物流运输"", ""人工智能"", ""物联网"", ""云存储"", ""IaaS"", ""云服务"", ""信息安全"", ""云计算平台"", ""工业互联网"", ""软件开发"", ""云服务平台"", ""云安全"", ""企业云服务"", ""主机防护及自适应"", ""云抗D"", ""云WAF"", ""移动APP安全"", ""移动业务安全"", ""工业互联网平台"", ""小程序云服务"", ""云游戏"", ""大数据中心"", ""数据中台"", ""新基建"", ""大数据基础支撑"", ""物流科技"", ""工业科技"", ""工业科技网络层"", ""新一代人工智能"", ""云端人工智能"", ""AI大模型""]"
23725503,永辉超市股份有限公司,辉超市,张轩松,2001-04-13,福州市西二环中路436号,福州市西二环中路436号,福建,福州市,,存续,"{'latitude': None, 'longitude': None}",2003090039@yonghui.cn,"['13696862161', '0591-83762200', '0591-83961855', '0591-87912562', '0591-83787308']",13696862161,农副产品;水产品;粮油及制品;食品饮料;酒及其他副食品;日用百货;家用电器及电子产品;通讯器材;针纺织品;服装;文化体育用品及器材;音像制品;出版物及电子出版物;珠宝;金银饰品;汽车摩托车零配件;汽车装潢;消防器材;工艺品;文物;五金交电;仪器仪表;五金家具及室内装修材料;花卉;玩具等的零售和批发;以及提供相关的配套服务;零售和批发预包装食品;散装食品;保健食品;乳制品;含婴幼儿配方乳粉;零售和批发医疗器械;西药销售;中药销售;互联网药品交易服务;零售香烟;组织部分自营商品的加工及农副产品收购;餐饮服务;出租部分商场设施或分租部分商场的场地予分租户从事合法经营;以上全部项目另设分支机构经营;物业管理;仓储服务;广告服务;信息咨询;保险;期货;金融等行业咨询除外;以特许经营方式从事商业活动;自营商品的进口;采购国内产品的出口;以上商品进出口不涉及国营贸易;出口配额招标;网上贸易代理;互联网零售;信息服务业务;互联网接入服务业务;互联网数据中心业务;在线数据处理与交易处理业务;专业停车场服务;普通货物道路运输;冷藏车道路运输;集装箱道路运输;大型货物道路运输;其他道路货物运输,股份有限公司;港、澳、台;股份有限公司(台港澳与境内合资、上市),9958,907503.6993万人民币,www.yonghui.com.cn,91350000727900106T,91350000727900106T,350000400000278,72790010-6,"['曾用名', '龙头企业', '小微企业', 'A股(正常上市)', '中国民营企业500强', '股权质押']",零售业,腾讯,https://img5.tianyancha.com/logo/lll/69708565dacc769cd1748be9b4399847.png@!f_200x200,永辉超市股份有限公司 (曾用名：福建永辉集团有限公司) ，成立于2001年，位于福建省福州市，是一家以从事零售业为主的企业。企业注册资本907503.6993万人民币，实缴资本65790万人民币，并已于2024年完成了股权转让，交易金额62.7亿人民币。通过天眼查大数据分析，永辉超市股份有限公司共对外投资了84家企业，参与招投标项目1097次；知识产权方面有商标信息2108条，著作权信息12条；此外企业还拥有行政许可19个。风险方面共发现企业有开庭公告45条，立案信息17条。,,,"YONGHUI SUPERSTORES CO., LIMITED",福建省市场监督管理局,65790万人民币,"福建永辉集团有限公司
福州永辉超市有限公司",3596,福州市西二环中路436号,,"[""零售商超"", ""批发零售"", ""商业贸易"", ""综合性生活服务"", ""生鲜电商"", ""生鲜食品"", ""生活服务电商"", ""零售连锁"", ""超市"", ""零售业"", ""连锁超市"", ""零售贸易"", ""大卖场与超市"", ""新零售"", ""快消品零售"", ""社区团购"", ""预制菜""]"
24762997,腾讯科技（北京）有限公司,腾讯科技,奚丹,2005-03-30,北京市海淀区海淀大街38号银科大厦16层1601-1608室,北京市海淀区海淀大街38号银科大厦16层1601-1608室,北京,北京市,海淀区,存续,"{'latitude': None, 'longitude': None}",sophiawan@tencent.com,"['010-62671188', '010-82173259']",010-62671188,计算机软硬件的技术开发;销售自行开发的软件;并提供相关的技术服务和信息服务;经营设计;制作;发布;代理国内外各类广告业务;移动电信;宽带网络的技术服务;教育咨询;出租办公用房,有限责任公司;港、澳、台;有限责任公司(台港澳法人独资),7378,160万美元,https://www.tencent.com,91110108772551611J,91110108772551611J,110000410244650,77255161-1,"['高新技术企业', '瞪羚企业']",软件和信息技术服务业,腾讯,https://img5.tianyancha.com/logo/product/352d016a6b6f3bc39ebf2a28e7e70d1f.png@!f_200x200,腾讯新闻是腾讯团队用心打造的一款丰富、及时的新闻应用，本着精炼、轻便的目标，为用户提供高效、优质的阅读体验。全球视野，聚焦中国，一朝在手，博览天下。,,"['MemeNews', '掌薪', '众看头条', '芯舨科技', '指尖资讯', '蜜蜂头条APP', '小熊宝', '旅诺', '最近APP', '视讯', '闲看点', '淘看点', '趣看天下', '每日一看APP', '永恒龙腾', '看看赚', '聚焦点APP', '你好阅读', '万象云智科技', '快捷信息']","Tencent Technology(Beijing)Co.,Ltd.",北京市海淀区市场监督管理局,100万美元,-,7097,北京市海淀区海淀大街38号银科大厦16层1601-1608室,,"[""工具软件"", ""媒体"", ""新闻资讯"", ""文娱传媒"", ""内容类应用"", ""应用软件"", ""媒体服务"", ""阅读软件"", ""新闻网站"", ""资讯阅读工具""]"
