id,name,short_name,representative,found_time,company_address,register_address,province,city,district,biz_status,geoloc,emails,phones,contact,biz_scope,company_type,score,register_capital,websites,credit_code,taxpayer_code,register_code,organization_code,tags,industry,keyword,logo,company_desc,financing_round,competitions,english_name,register_institute,actual_capital,used_name,staffs,tax_address,taxpayer_bank,portraits
59837300,阿里巴巴（中国）有限公司,阿里巴巴,蒋芳,2007-03-26,浙江省杭州市滨江区长河街道网商路699号4号楼5楼508室,浙江省杭州市滨江区长河街道网商路699号4号楼5楼508室,浙江,杭州市,滨江区,存续,"{'latitude': None, 'longitude': None}",gsll@service.alibaba.com,['0571-85022088'],0571-85022088,服务;计算机系统服务;电脑动画设计;经济信息咨询服务;成年人的非证书劳动职业技能培训和成年人的非文化教育培训;生产;计算机软件;销售自产产品,有限责任公司;港、澳、台;有限责任公司(台港澳法人独资),9785,15459.89659万美元,www.aliresearch.com,91330100799655058B,91330100799655058B,330100400013364,79965505-8,"['曾用名', '高新技术企业', '瞪羚企业', 'IPO上市', '中国民营企业500强']",软件和信息技术服务业,阿里巴巴,https://img5.tianyancha.com/logo/jigou/1841ef271c766ec6e807e6113f044cc9.png@!f_200x200,阿里资本成立于2008年年中，隶属于阿里巴巴集团。使命是通过投资、并购和业务拓展，创造战略和长远财富价值，成为繁荣电子商务生态圈的一支核心力量。阿里资本专注于电子商务及相关行业的投资，积极寻找和挖掘最有潜力的创业型公司，实现少数股权投资或战略并购。阿里巴巴战略投资的总部在杭州，同时在北京和上海设立办公室。,,[],"Alibaba (China) Co., Ltd",杭州市高新区（滨江）市场监督管理局,15298万美元,浙江阿里巴巴企业管理咨询有限公司,2362,浙江省杭州市滨江区长河街道网商路699号4号楼5楼508室,,[]
1698375,阿里巴巴（中国）网络技术有限公司,阿里巴巴,蒋芳,1999-09-09,浙江省杭州市滨江区网商路699号,浙江省杭州市滨江区网商路699号,浙江,杭州市,滨江区,存续,"{'latitude': None, 'longitude': None}",gsll@service.alibaba.com,['0571-85022088'],0571-85022088,软件开发;软件销售;技术服务;技术开发;技术咨询;技术交流;技术转让;技术推广;网络设备销售;计算机软硬件及辅助设备零售;计算机软硬件及辅助设备批发;非居住房地产租赁;停车场服务;翻译服务;物业管理;业务培训;凭营业执照依法自主开展经营活动,有限责任公司;港、澳、台;有限责任公司（港澳台投资、非独资）,9992,599594.14455万美元,,91330100716105852F,91330100716105852F,330100400015575,71610585-2,['高新技术企业'],软件和信息技术服务业,阿里巴巴,https://img5.tianyancha.com/logo/lll/9c72f6a6b37b4dcf2ece8f31a3237ec2.png@!f_200x200,阿里巴巴 (中国) 网络技术有限公司，成立于1999年，位于浙江省杭州市，是一家以从事软件和信息技术服务业为主的企业。企业注册资本599594.14455万美元，实缴资本316403.90188万美元。通过天眼查大数据分析，阿里巴巴 (中国) 网络技术有限公司共对外投资了93家企业，参与招投标项目153次；知识产权方面有商标信息17条，专利信息143条，著作权信息288条；此外企业还拥有行政许可103个。风险方面共发现企业有裁判文书5条；开庭公告185条，立案信息63条。,,,"Alibaba(China)Network Technology Co., Ltd.",杭州市高新区（滨江）市场监督管理局,316403.90188万美元,-,4827,浙江省杭州市滨江区网商路699号,,"[""B2B"", ""人工智能"", ""电子商务"", ""消费生活"", ""B2B电商"", ""综合性电商"", ""综合性集团"", ""工业互联网"", ""集成电路"", ""半导体"", ""零售业"", ""互联网零售"", ""金融"", ""工业互联网平台"", ""互联网零售与直销"", ""出海电商"", ""互联网"", ""从线上到线下"", ""NFT"", ""工业科技"", ""工业科技网络层"", ""AIGC""]"
24106980,北京阿里巴巴信息技术有限公司,阿里巴巴,马云,1998-10-14,北京市朝阳区西大望路甲12号(国家广告产业园区)B座6层,北京市朝阳区西大望路甲12号(国家广告产业园区)B座6层,北京,北京市,朝阳区,注销,"{'latitude': None, 'longitude': None}",shizhou.fsz@alibaba-inc.com,"['0571-85022088', '010-65985888', '010-65833721']",0571-85022088,技术开发;技术转让;技术咨询;技术服务;计算机技术培训,有限责任公司;外商投资企业;有限责任公司(外商投资企业与内资合资),9621,56000万人民币,,911101057001486120,911101057001486120,110105004567660,70014861-2,['曾用名'],软件和信息技术服务业,阿里巴巴,https://img5.tianyancha.com/logo/lll/30b21e590a05241cfd86f6f24467364b.png@!f_200x200,北京阿里巴巴信息技术有限公司 (曾用名：北京三七二一科技有限公司) ，成立于1998年，位于北京市，是一家以从事软件和信息技术服务业为主的企业。企业注册资本56000万人民币，实缴资本56000万人民币。通过天眼查大数据分析，北京阿里巴巴信息技术有限公司共对外投资了1家企业，参与招投标项目3次；知识产权方面有商标信息3条，著作权信息9条；此外企业还拥有行政许可3个。风险方面共发现企业有,,,"Beijing Alibaba Information and Technology Co.,Ltd.",北京市朝阳区市场监督管理局,56000万人民币,北京三七二一科技有限公司,0,北京市朝阳区西大望路甲12号(国家广告产业园区)B座6层,,[]
3455631604,蚂蚁科技集团股份有限公司,蚂蚁科技,井贤栋,2000-10-19,浙江省杭州市西湖区西溪路543号-569号（单号连续）1幢2号楼5层517室,浙江省杭州市西湖区西溪路543号-569号（单号连续）1幢2号楼5层517室,浙江,杭州市,西湖区,存续,"{'latitude': None, 'longitude': None}",xiaolu.ll@antgroup.com,['0571-26888888'],0571-26888888,工程和技术研究和试验发展;企业总部管理;控股公司服务;以自有资金从事投资活动;技术服务;技术开发;技术咨询;技术交流;技术转让;技术推广;软件开发;广告设计;代理;广告制作;广告发布;会议及展览服务;翻译服务;凭营业执照依法自主开展经营活动;第二类增值电信业务;具体经营项目以审批结果为准,股份有限公司;其他股份有限公司(非上市),9990,3500000万人民币,https://www.antgroup.com,913301067046373179,913301067046373179,330000000082753,70463731-7,"['曾用名', '独角兽企业', '小微企业', '港股(发行未上市)', '科创板(发行未上市)', '中国民营企业500强']",软件和信息技术服务业,阿里巴巴,https://img5.tianyancha.com/logo/lll/7ba0d98a641e028739b9256b3fc24f3f.png@!f_200x200,蚂蚁科技集团股份有限公司 (曾用名：浙江蚂蚁小微金融服务集团股份有限公司) ，成立于2000年，位于浙江省杭州市，是一家以从事软件和信息技术服务业为主的企业。企业注册资本3500000万人民币，实缴资本1500000万人民币，并已于2020年完成了股权融资。通过天眼查大数据分析，蚂蚁科技集团股份有限公司共对外投资了45家企业，参与招投标项目26次；知识产权方面有商标信息173条，专利信息50条，著作权信息114条；此外企业还拥有行政许可14个。风险方面共发现企业有裁判文书1条；开庭公告22条，立案信息4条。,,,"Ant Group Co.,Ltd.",浙江省市场监督管理局,1500000万人民币,"浙江蚂蚁小微金融服务集团股份有限公司
浙江蚂蚁小微金融服务集团有限公司
浙江阿里巴巴电子商务有限公司",18,浙江省杭州市西湖区西溪路543号-569号（单号连续）1幢2号楼5层517室,,[]
3166657056,杭州阿里巴巴网络科技有限公司,阿里巴巴,蒋芳,2018-03-19,浙江省杭州市余杭区五常街道文一西路969号3幢5层531室,浙江省杭州市余杭区五常街道文一西路969号3幢5层531室,浙江,杭州市,余杭区,存续,"{'latitude': None, 'longitude': None}",gsll@service.alibaba.com,['0571-85022088'],0571-85022088,技术开发;技术咨询;技术服务;技术成果转让;网络技术;计算机软硬件;网络技术产品;多媒体产品;计算机技术;服务;系统集成的设计;调试及维护;经济信息咨询;电子商务平台的技术开发和咨询;销售自身开发的产品,有限责任公司;外商投资企业;有限责任公司(外商投资企业法人独资),8931,10535.385万人民币,,91330110MA2B1A986J,91330110MA2B1A986J,330184000748809,MA2B1A98-6,"['小微企业', '股权出质']",科技推广和应用服务业,阿里巴巴,https://img5.tianyancha.com/logo/lll/dc393dfa48d381c88b9b8b9ca2e97070.png@!f_200x200,杭州阿里巴巴网络科技有限公司，成立于2018年，位于浙江省杭州市，是一家以从事科技推广和应用服务业为主的企业。企业注册资本10535.385万人民币，实缴资本35.385万人民币。通过天眼查大数据分析，杭州阿里巴巴网络科技有限公司参与招投标项目1次；此外企业还拥有行政许可2个。风险方面共发现企业有裁判文书1条；开庭公告12条，立案信息1条。,,,"Hangzhou Alibaba Network Technology Co., Ltd",杭州市余杭区市场监督管理局,35.385万人民币,-,0,浙江省杭州市余杭区五常街道文一西路969号3幢5层531室,,[]
28723141,淘宝（中国）软件有限公司,淘宝软件,蒋芳,2004-12-07,浙江省杭州市余杭区五常街道文一西路969号3幢5层554室,浙江省杭州市余杭区五常街道文一西路969号3幢5层554室,浙江,杭州市,余杭区,存续,"{'latitude': None, 'longitude': None}",ttglegal@service.taobao.com,"['0571-85022088', '18768440137', '0571-88155188']",0571-85022088,研究;开发计算机软;硬件;网络技术产品;多媒体产品;系统集成的设计;调试及维护;销售自身开发的产品;并提供计算机技术咨询;服务;电子商务平台支持;经济信息咨询;含商品中介,有限责任公司;港、澳、台;有限责任公司(台港澳法人独资),9928,69303.37472万美元,https://www.taobao.com,913301007682254698,913301007682254698,330100400015044,76822546-9,"['高新技术企业', '独角兽企业', '天使轮']",软件和信息技术服务业,阿里巴巴,https://img5.tianyancha.com/logo/lll/43bd40c08da283a8026a7895bf348617.png@!f_200x200,淘宝 (中国) 软件有限公司，成立于2004年，位于浙江省杭州市，是一家以从事软件和信息技术服务业为主的企业。企业注册资本69303.37472万美元，实缴资本69000万美元，并已于2005年完成了天使轮。通过天眼查大数据分析，淘宝 (中国) 软件有限公司共对外投资了25家企业，参与招投标项目1642次；知识产权方面有专利信息245条，著作权信息2812条；此外企业还拥有行政许可135个。风险方面共发现企业有裁判文书13条，涉案总金额1.1552万元；开庭公告248条，立案信息39条。,,,"Tao Bao(China)Software Co.,Ltd.",杭州市余杭区市场监督管理局,69000万美元,-,7130,浙江省杭州市余杭区五常街道文一西路969号3幢5层554室,,"[""团购"", ""电子商务"", ""软件开发"", ""软件和信息技术服务业"", ""信息传输、软件和信息技术服务业"", ""电商经营模式""]"
138473506,阿里云计算有限公司,云计算,郑俊芳,2008-04-08,浙江省杭州市西湖区三墩镇灯彩街1008号云谷园区1-2-A06室,浙江省杭州市西湖区三墩镇灯彩街1008号云谷园区1-2-A06室,浙江,杭州市,西湖区,存续,"{'latitude': None, 'longitude': None}",yun-gsll@alibabacloud.com,['0571-85022088'],0571-85022088,智能机器人销售;工业自动控制系统装置销售;业务培训;物联网设备销售;翻译服务;技术服务;技术开发;技术咨询;技术交流;技术转让;技术推广;企业管理咨询;信息技术咨询服务;广告制作;广告发布;广告设计;代理;计算机软硬件及辅助设备零售;计算机软硬件及辅助设备批发;电子产品销售;照相器材及望远镜零售;照相器材及望远镜批发;照相机及器材销售;会议及展览服务;数字创意产品展览展示服务;专业设计服务;人工智能应用软件开发;云计算设备销售;第二类医疗器械销售;气象信息服务;凭营业执照依法自主开展经营活动;基础电信业务;第一类增值电信业务;第二类增值电信业务;互联网域名注册服务;测绘服务;互联网域名根服务器运行;具体经营项目以审批结果为准,有限责任公司;其他有限责任公司,9780,101010.10101万人民币,https://www.aliyun.com,91330106673959654P,91330106673959654P,330108000016033,67395965-4,"['曾用名', '高新技术企业', '独角兽企业', '瞪羚企业', '战略融资']",软件和信息技术服务业,阿里巴巴,https://img5.tianyancha.com/logo/lll/0023d7602867979ecf8f9272ab8a4c21.png@!f_200x200,阿里云计算有限公司 (曾用名：杭州阿里信息服务有限公司) ，成立于2008年，位于浙江省杭州市，是一家以从事软件和信息技术服务业为主的企业。企业注册资本101010.10101万人民币，实缴资本5000万人民币，并已于2015年完成了战略融资，交易金额60亿人民币。通过天眼查大数据分析，阿里云计算有限公司共对外投资了5家企业，参与招投标项目5798次；知识产权方面有商标信息20条，专利信息1988条，著作权信息405条；此外企业还拥有行政许可33个。风险方面共发现企业有裁判文书4条；开庭公告128条，立案信息11条。,,,ALIBABA CLOUD (SINGAPORE) PRIVATE LIMITED,杭州市西湖区市场监督管理局,5000万人民币,"杭州阿里信息服务有限公司
杭州阿里巴巴信息服务有限公司",3111,浙江省杭州市西湖区三墩镇灯彩街1008号云谷园区1-2-A06室,,"[""企业服务"", ""工具软件"", ""大数据"", ""视频"", ""云计算"", ""智能家居"", ""物流运输"", ""人工智能"", ""物联网"", ""安全软件"", ""IaaS"", ""语音识别"", ""消费升级"", ""云服务"", ""医疗健康"", ""信息安全"", ""网络安全"", ""语音交互"", ""云计算平台"", ""工业互联网"", ""软件开发"", ""数字经济"", ""数据处理"", ""信息技术"", ""软件和信息技术服务业"", ""云服务平台"", ""云安全"", ""威胁情报"", ""虚拟助手"", ""智能制造"", ""大数据安全"", ""深度学习"", ""SD-WAN"", ""住"", ""企业云服务"", ""医疗人工智能"", ""主机防护及自适应"", ""云抗D"", ""云WAF"", ""信息传输、软件和信息技术服务业"", ""集成层"", ""通用能力"", ""工业互联网平台"", ""小程序云服务"", ""硬科技"", ""RPA"", ""大数据中心"", ""数据中台"", ""新基建"", ""5G技术"", ""5G网络安全"", ""大数据基础支撑"", ""人工智能技术"", ""数字经济基础设施"", ""网络规划与运维"", ""物流科技"", ""DPU"", ""智能车"", ""智能车执行系统"", ""工业科技"", ""工业科技网络层"", ""新一代人工智能"", ""云端人工智能"", ""智能制造与机器人技术"", ""AI大模型""]"
2990022302,韵达控股股份有限公司,韵达控股,聂腾云,1996-04-05,慈溪市崇寿镇永清南路8号,慈溪市崇寿镇永清南路8号,浙江,宁波市,慈溪市,存续,"{'latitude': None, 'longitude': None}",420993493@qq.com,"['021-39296789', '17317978939', '0574-63029871']",021-39296789,企业总部管理;以自有资金从事投资活动;企业管理咨询;信息咨询服务;租赁服务;技术服务;技术开发;技术咨询;技术交流;技术转让;技术推广;广告发布;广告制作;广告设计;代理;装卸搬运;体育用品及器材零售;家用电器销售;教育教学检测和评价活动;信息技术咨询服务;组织体育表演活动;组织文化艺术交流活动;凭营业执照依法自主开展经营活动,股份有限公司;其他股份有限公司(上市),9898,289919.469万人民币,www.yundaex.com/cn/index.php,91330200144745634H,91330200144745634H,330200000039714,14474563-4,"['曾用名', '企业技术中心', '小微企业', 'A股(正常上市)', '股权质押']",商务服务业,阿里巴巴,https://img5.tianyancha.com/logo/lll/4046e35ba231431327e216a1fbc6da73.png@!f_200x200,韵达控股股份有限公司 (曾用名：宁波新海电气股份有限公司) ，成立于1996年，位于浙江省宁波市，是一家以从事商务服务业为主的企业。企业注册资本289919.469万人民币，实缴资本101364.5331万人民币，并已于2020年完成了战略融资。通过天眼查大数据分析，韵达控股股份有限公司共对外投资了13家企业，参与招投标项目9次；知识产权方面有商标信息33条，专利信息263条，著作权信息12条；此外企业还拥有行政许可4个。风险方面共发现企业有裁判文书1条；开庭公告18条，立案信息1条。,,,"Yunda Holding Co.,Ltd.",宁波市市场监督管理局,101364.5331万人民币,"宁波新海投资开发有限公司
宁波新海电气股份有限公司
慈溪市华成模具制造有限公司",1,慈溪市崇寿镇永清南路8号,,"[""物流运输"", ""货运物流"", ""快递物流"", ""快递服务"", ""轻工制造"", ""交通运输"", ""数据中心"", ""物流服务"", ""综合性快递品牌"", ""航空货运与物流"", ""物流货运服务"", ""交通运输、仓储和邮政业"", ""邮政业"", ""物流产业"", ""智能车"", ""智能车维护运营""]"
3113578912,阿里巴巴达摩院（杭州）科技有限公司,阿里巴巴,张建锋,2017-11-07,浙江省杭州市余杭区五常街道文一西路969号3幢5层516室,浙江省杭州市余杭区五常街道文一西路969号3幢5层516室,浙江,杭州市,余杭区,存续,"{'latitude': None, 'longitude': None}",gsll@service.alibaba.com,['0571-85022088'],0571-85022088,技术服务;技术开发;技术咨询;技术交流;技术转让;技术推广;软件开发;专业设计服务;翻译服务;凭营业执照依法自主开展经营活动,有限责任公司;外商投资企业;有限责任公司(外商投资企业法人独资),9417,30007.409195万人民币,https://www.alixiaomi.com,91330110MA2AXY0E7F,91330110MA2AXY0E7F,330184000693411,MA2AXY0E-7,[],软件和信息技术服务业,阿里巴巴,https://img5.tianyancha.com/logo/product/9685331a2593d0f449d75373acffae32.png@!f_200x200,ModelScope社区成立于2022年6月，是一个模型开源社区及创新平台，由阿里巴巴达摩院，联合CCF开源发展委员会，共同作为项目发起方。社区联合国内 AI 领域合作伙伴与高校机构， 致力于通过开放的社区合作，构建深度学习相关的模型开源社区，并开放相关模型创新技术，推动基于“模型即服务”（Model-as-a-Service）理念的模型应用生态的繁荣发展。,,"['中科深源', '奔曜科技', '起降公司', '黑洞引力', '英矽智能', '云炻科技', '浙江强脑科技', '未知君', '重德智能', '蓝晶信息', '新晨航空', '长光禹辰', '哈悉科技', '超飞航空科技', '腾星云', '苏映视', '中科亿海微', '北研航空', '华芯股份', '中粮谷道']","Alibaba Dharma Institute (Hangzhou) Technology Co., Ltd",杭州市余杭区市场监督管理局,1000万人民币,-,305,浙江省杭州市余杭区五常街道文一西路969号3幢5层516室,,"[""硬件"", ""工具软件"", ""房产家居"", ""智能家居"", ""人工智能"", ""物联网"", ""传感器"", ""安全软件"", ""机器学习"", ""消费升级"", ""医疗健康"", ""智能硬件"", ""网络安全"", ""人工智能应用场景"", ""芯片"", ""数字经济"", ""软件和信息技术服务业"", ""信息技术服务"", ""智能家电"", ""智慧生活"", ""科研技术"", ""科研及技术服务"", ""深度学习"", ""自然语言处理"", ""高端技术"", ""住"", ""智能音响"", ""智能音箱"", ""信息传输、软件和信息技术服务业"", ""物联网应用层"", ""量子计算"", ""传感器技术"", ""自动驾驶仿真测试"", ""人工智能技术"", ""数字经济基础设施""]"
2317461298,广州足球俱乐部股份有限公司,足球,高寒,2006-02-24,广州市番禺区石楼镇光明路综合市场首层31号铺,广州市番禺区石楼镇光明路综合市场首层31号铺,广东,广州市,番禺区,存续,"{'latitude': None, 'longitude': None}",gzfc@gzevergrandefc.com,"['020-89182055', '020-38655511', '020-89184918', '020-38658040', '020-38658600', '020-38657819']",020-89182055,体育组织;运动场馆服务;游泳馆除外;体校及体育培训;群众参与的文艺类演出;比赛等公益性文化活动的策划;策划创意服务;商品批发贸易;商品零售贸易;广告业,股份有限公司;其他股份有限公司(非上市),9493,39673.4万人民币,,91440101783794467C,91440101783794467C,440101000059092,78379446-7,"['曾用名', '新三板(终止上市)']",体育,阿里巴巴,https://img5.tianyancha.com/logo/lll/f673e08b90c290d62c9b3941b964ea4e.png@!f_200x200,广州足球俱乐部股份有限公司 (曾用名：广州恒大淘宝足球俱乐部股份有限公司) ，成立于2006年，位于广东省广州市，是一家以从事体育为主的企业。企业注册资本39673.4万人民币，实缴资本22500万人民币，并已于2019年完成了定向增发。通过天眼查大数据分析，广州足球俱乐部股份有限公司共对外投资了1家企业，参与招投标项目11次；知识产权方面有商标信息107条，著作权信息4条；此外企业还拥有行政许可12个。风险方面共发现企业有裁判文书3条，涉案总金额5.557万元；开庭公告38条，立案信息20条。,,,"Guangzhou Football Club Co.,Ltd.",广州市市场监督管理局,22500万人民币,"广州医药足球俱乐部有限公司
广州恒大淘宝足球俱乐部股份有限公司
广州恒大足球俱乐部有限公司
广州恒大淘宝足球俱乐部有限公司
广州足球俱乐部有限公司",165,广州市番禺区石楼镇光明路综合市场首层31号铺,,"[""媒体"", ""体育健身"", ""球类运动"", ""足球"", ""消费升级"", ""传媒"", ""信息服务"", ""体育运动"", ""场馆及赛事运营"", ""运动健身"", ""足球俱乐部"", ""体育俱乐部"", ""体育组织""]"
